,time,total
49052,1977-10-01,1410.4162350396882
49053,1977-11-01,2311.7704834404226
49054,1977-12-01,2551.6141096855526
49055,1978-01-01,10136.130710942669
49056,1978-02-01,24912.18997951899
49057,1978-03-01,23976.514273143617
49058,1978-04-01,22026.707686422567
49059,1978-05-01,16437.32692535305
49060,1978-06-01,9414.084781571633
49061,1978-07-01,4211.135289821017
49062,1978-08-01,2769.2518198070693
49063,1978-09-01,2164.7995162348584
49064,1978-10-01,1494.287088590895
49065,1978-11-01,1146.2010251702777
49066,1978-12-01,4457.675403186793
49067,1979-01-01,5753.740865512316
49068,1979-02-01,11597.038784593298
49069,1979-03-01,7139.79012725139
49070,1979-04-01,10731.74364845757
49071,1979-05-01,6353.279772205478
49072,1979-06-01,6144.5386611369795
49073,1979-07-01,2380.0796841464735
49074,1979-08-01,1668.2923102250681
49075,1979-09-01,1667.2557178650368
49076,1979-10-01,1406.1953043270912
49077,1979-11-01,1784.767649121869
49078,1979-12-01,2203.56548896446
49079,1980-01-01,3846.5609968468984
49080,1980-02-01,9501.778901261225
49081,1980-03-01,11046.81989376426
49082,1980-04-01,12403.842866338076
49083,1980-05-01,10954.903446846685
49084,1980-06-01,5973.55683964442
49085,1980-07-01,4702.090951240064
49086,1980-08-01,2182.141072468491
49087,1980-09-01,2071.1299509938262
49088,1980-10-01,1679.1095652991412
49089,1980-11-01,3386.9098116581267
49090,1980-12-01,5915.4711743657335
49091,1981-01-01,4381.223371917254
49092,1981-02-01,11086.450484967478
49093,1981-03-01,13282.843156546249
49094,1981-04-01,14922.650598396593
49095,1981-05-01,13340.613938418113
49096,1981-06-01,6666.259353176186
49097,1981-07-01,3546.6462639318443
49098,1981-08-01,1820.2308092477033
49099,1981-09-01,1309.1586104885762
49100,1981-10-01,1514.1898058690622
49101,1981-11-01,1819.3967011444443
49102,1981-12-01,3327.3953795830034
49103,1982-01-01,3992.298660720693
49104,1982-02-01,6778.26043896084
49105,1982-03-01,4664.791080058694
49106,1982-04-01,10787.725920649078
49107,1982-05-01,3559.3622212670834
49108,1982-06-01,2178.094551110739
49109,1982-07-01,1112.702852683312
49110,1982-08-01,644.5051223669539
49111,1982-09-01,645.1027813271866
49112,1982-10-01,874.5975550868307
49113,1982-11-01,1104.6492135562987
49114,1982-12-01,1753.3853018104173
49115,1983-01-01,1458.7297342330696
49116,1983-02-01,1508.0771753202027
49117,1983-03-01,4212.357658804502
49118,1983-04-01,10301.231154022178
49119,1983-05-01,12130.72610524873
49120,1983-06-01,8094.94545359398
49121,1983-07-01,5274.678393477938
49122,1983-08-01,3028.6380046135
49123,1983-09-01,3094.0144276729525
49124,1983-10-01,2677.861349536426
49125,1983-11-01,2407.215492637479
49126,1983-12-01,1728.2100878026895
49127,1984-01-01,6167.54173780958
49128,1984-02-01,9914.972266667173
49129,1984-03-01,11811.449137084164
49130,1984-04-01,14904.796356514187
49131,1984-05-01,11141.711118479485
49132,1984-06-01,8847.03630995323
49133,1984-07-01,4524.374575581853
49134,1984-08-01,2809.2919338163674
49135,1984-09-01,2262.5221543031616
49136,1984-10-01,1691.1097809536527
49137,1984-11-01,1383.2428433810496
49138,1984-12-01,1965.9371252988
49139,1985-01-01,2469.456235452149
49140,1985-02-01,11724.429182270023
49141,1985-03-01,20673.8536188324
49142,1985-04-01,15177.171090107993
49143,1985-05-01,9136.61477592264
49144,1985-06-01,5760.03650468639
49145,1985-07-01,1747.8361679265217
49146,1985-08-01,1259.0289357207337
49147,1985-09-01,1174.1941191131286
49148,1985-10-01,1436.5560981804772
49149,1985-11-01,2335.243185481054
49150,1985-12-01,5637.679708395952
49151,1986-01-01,12568.166253916283
49152,1986-02-01,21783.68596185489
49153,1986-03-01,16557.625853614005
49154,1986-04-01,25851.881195781014
49155,1986-05-01,16797.074955845652
49156,1986-06-01,11356.788477239055
49157,1986-07-01,5186.617934053822
49158,1986-08-01,2818.9873661393226
49159,1986-09-01,2529.47562398854
49160,1986-10-01,1929.7159267424045
49161,1986-11-01,1846.5937618698872
49162,1986-12-01,2508.6627046608965
49163,1987-01-01,10463.552703602687
49164,1987-02-01,9172.768023748053
49165,1987-03-01,9602.483682342916
49166,1987-04-01,10495.953610000008
49167,1987-05-01,9230.24512414548
49168,1987-06-01,5615.8901852997005
49169,1987-07-01,4218.329086128623
49170,1987-08-01,2546.3598269485656
49171,1987-09-01,2675.9002247756853
49172,1987-10-01,1843.436347402662
49173,1987-11-01,1745.895293669134
49174,1987-12-01,2295.7726210473074
49175,1988-01-01,2396.710590872545
49176,1988-02-01,11840.345845855578
49177,1988-03-01,19309.08154744681
49178,1988-04-01,24057.05105000316
49179,1988-05-01,16307.410396716554
49180,1988-06-01,8649.323114031016
49181,1988-07-01,5147.525271060446
49182,1988-08-01,2812.8340523896504
49183,1988-09-01,2157.2364802892266
49184,1988-10-01,1573.3893744215068
49185,1988-11-01,1602.625219002811
49186,1988-12-01,2182.4445100879557
49187,1989-01-01,2305.3041891888365
49188,1989-02-01,6145.086655015165
49189,1989-03-01,9112.621871688665
49190,1989-04-01,6467.0735389966885
49191,1989-05-01,4789.323736305123
49192,1989-06-01,3343.787800128971
49193,1989-07-01,1031.0838285458417
49194,1989-08-01,1010.1721112637397
49195,1989-09-01,1072.0588130374815
49196,1989-10-01,938.6897860569861
49197,1989-11-01,1429.19537719848
49198,1989-12-01,2108.171415472986
49199,1990-01-01,3389.1581385491572
49200,1990-02-01,5048.2510457426115
49201,1990-03-01,8503.898861825699
49202,1990-04-01,11090.545962575578
49203,1990-05-01,8941.230057967008
49204,1990-06-01,5649.62623409424
49205,1990-07-01,1551.0254484568811
49206,1990-08-01,1344.2087985277851
49207,1990-09-01,1451.478624881009
49208,1990-10-01,1034.2483767486672
49209,1990-11-01,1645.2448122699254
49210,1990-12-01,1204.7454909922678
49211,1991-01-01,4348.04749490257
49212,1991-02-01,6325.641703023225
49213,1991-03-01,7531.075319766729
49214,1991-04-01,7776.815833272758
49215,1991-05-01,3956.1368459005985
49216,1991-06-01,2489.79324786693
49217,1991-07-01,530.5123173601704
49218,1991-08-01,540.0784946150657
49219,1991-09-01,972.0410793055917
49220,1991-10-01,852.5297912521187
49221,1991-11-01,1107.442246187646
49222,1991-12-01,2066.855481706276
49223,1992-01-01,3271.050575892983
49224,1992-02-01,9595.76007059513
49225,1992-03-01,4588.298978638936
49226,1992-04-01,6636.227712443595
49227,1992-05-01,3432.2837928086556
49228,1992-06-01,1487.2898563023246
49229,1992-07-01,252.58623281150858
49230,1992-08-01,142.1044369712305
49231,1992-09-01,916.8782886264378
49232,1992-10-01,1067.890820193024
49233,1992-11-01,1438.356884825192
49234,1992-12-01,1760.0141952793201
49235,1993-01-01,6509.42264913926
49236,1993-02-01,9240.747110595927
49237,1993-03-01,9042.536618143295
49238,1993-04-01,12163.37625767955
49239,1993-05-01,6555.037631522169
49240,1993-06-01,3607.6697300195046
49241,1993-07-01,1644.570969151342
49242,1993-08-01,798.1041456319493
49243,1993-09-01,971.0504188436378
49244,1993-10-01,1104.5379734287021
49245,1993-11-01,1406.8167512755072
49246,1993-12-01,2786.38435709124
49247,1994-01-01,8138.0945641029375
49248,1994-02-01,10871.855074058838
49249,1994-03-01,15305.542201741267
49250,1994-04-01,22009.194967440184
49251,1994-05-01,16649.13801835513
49252,1994-06-01,9432.498402916939
49253,1994-07-01,5378.974932686229
49254,1994-08-01,3267.813296364487
49255,1994-09-01,2842.2396815378074
49256,1994-10-01,2070.9666572149044
49257,1994-11-01,1493.786103644979
49258,1994-12-01,2876.242154630528
49259,1995-01-01,4015.6201234628743
49260,1995-02-01,6231.254064068993
49261,1995-03-01,15862.234102164068
49262,1995-04-01,13637.235989749988
49263,1995-05-01,10395.88564974798
49264,1995-06-01,4020.850896061692
49265,1995-07-01,2008.3368478634077
49266,1995-08-01,1372.3673821722584
49267,1995-09-01,1170.8799404419503
49268,1995-10-01,791.546482318241
49269,1995-11-01,978.8752428107543
49270,1995-12-01,2034.6630467437512
49271,1996-01-01,8865.533234627932
49272,1996-02-01,9565.900305976238
49273,1996-03-01,8122.618716716927
49274,1996-04-01,5551.338054089342
49275,1996-05-01,4937.236370915824
49276,1996-06-01,2998.215985799576
49277,1996-07-01,818.7874654718217
49278,1996-08-01,545.1452808263684
49279,1996-09-01,986.6515384630693
49280,1996-10-01,813.571405465295
49281,1996-11-01,1458.7788224013643
49282,1996-12-01,1566.0803601439688
49283,1997-01-01,8361.72986095205
49284,1997-02-01,7657.744888575866
49285,1997-03-01,14754.53949932694
49286,1997-04-01,11067.808784814148
49287,1997-05-01,8915.094024495571
49288,1997-06-01,6016.269171138721
49289,1997-07-01,3657.5692412552526
49290,1997-08-01,2485.676290232619
49291,1997-09-01,2310.6267806185074
49292,1997-10-01,1906.5099487202015
49293,1997-11-01,1604.5966382031827
49294,1997-12-01,2728.8777870971285
49295,1998-01-01,3676.721247309364
49296,1998-02-01,13841.978126471313
49297,1998-03-01,12779.964717323908
49298,1998-04-01,15514.000752183987
49299,1998-05-01,11646.651083542454
49300,1998-06-01,5853.247157038372
49301,1998-07-01,2694.317000839468
49302,1998-08-01,1514.3466363191242
49303,1998-09-01,1614.173790855465
49304,1998-10-01,1061.748273124812
49305,1998-11-01,1661.7487164993036
49306,1998-12-01,4424.207198576513
49307,1999-01-01,7270.505170440792
49308,1999-02-01,16906.623569826097
49309,1999-03-01,33426.41286669581
49310,1999-04-01,20861.609859262364
49311,1999-05-01,12253.15395454867
49312,1999-06-01,7162.578615186409
49313,1999-07-01,3137.815213341088
49314,1999-08-01,1835.7034629502914
49315,1999-09-01,1953.1928241670769
49316,1999-10-01,1390.416622080367
49317,1999-11-01,1237.7968803097392
49318,1999-12-01,3745.89522557507
49319,2000-01-01,3548.698722920779
49320,2000-02-01,9161.508975887251
49321,2000-03-01,14398.77521933342
49322,2000-04-01,14752.770791543582
49323,2000-05-01,10604.982610180128
49324,2000-06-01,4773.112841063738
49325,2000-07-01,2620.1842363770174
49326,2000-08-01,1485.0151742599892
49327,2000-09-01,1331.7187340575028
49328,2000-10-01,1409.8516897798734
49329,2000-11-01,2113.0864114795318
49330,2000-12-01,2441.6025296005764
49331,2001-01-01,4777.9619236662475
49332,2001-02-01,10343.716914623821
49333,2001-03-01,20579.158391241464
49334,2001-04-01,25881.558408014927
49335,2001-05-01,20788.297178021166
