SA,NO3,PO4,depth,lat,lon
NaN,4.8,0.66,80,30.066666,-120.125
NaN,11.3,1.04,100,30.066666,-120.125
NaN,16.5,1.62,124,30.066666,-120.125
33.4963929356087,16.7,1.63,125,30.066666,-120.125
NaN,20.4,1.74,144,30.066666,-120.125
33.5503165359297,21.3,1.78,150,30.066666,-120.125
NaN,24.1,1.92,174,30.066666,-120.125
33.688165249949,25.6,1.94,200,30.066666,-120.125
NaN,25.7,1.94,203,30.066666,-120.125
NaN,27,2.14,234,30.066666,-120.125
33.8671642632407,28,2.21,250,30.066666,-120.125
NaN,29.5,2.3,274,30.066666,-120.125
34.0823066724303,31.1,2.46,300,30.066666,-120.125
34.2427858949679,33,2.68,333,30.066666,-120.125
34.3416568163755,35.8,2.99,400,30.066666,-120.125
34.3518401455107,36,3.02,407,30.066666,-120.125
NaN,37.3,3.22,482,30.066666,-120.125
NaN,37.5,3.23,500,30.066666,-120.125
NaN,38.2,3.28,561,30.066666,-120.125
33.7296393886217,NaN,0.44,0,31.083333,-116.416666
33.72964010549,NaN,0.44,1,31.083333,-116.416666
33.7286418316018,NaN,0.42,10,31.083333,-116.416666
33.7286442744628,NaN,0.42,11,31.083333,-116.416666
33.7246473544917,NaN,0.38,20,31.083333,-116.416666
33.7236455944943,NaN,0.38,21,31.083333,-116.416666
33.7297006562721,0.3,0.36,30,31.083333,-116.416666
33.729708432832,0.3,0.36,31,31.083333,-116.416666
33.7479703256686,4.6,0.74,50,31.083333,-116.416666
33.7489919592838,4.8,0.76,51,31.083333,-116.416666
33.8220741336026,NaN,0.46,0,30.9,-116.75
33.8200718705257,NaN,0.3,10,30.9,-116.75
33.8140680067753,0.1,0.3,20,30.9,-116.75
NaN,0.1,0.3,30,30.9,-116.75
NaN,0.1,0.34,39,30.9,-116.75
33.8052400957887,3.8,0.62,50,30.9,-116.75
33.8054601725612,9.1,1,63,30.9,-116.75
33.8307819550481,11,1.13,75,30.9,-116.75
NaN,11.4,1.16,78,30.9,-116.75
NaN,15.9,1.58,97,30.9,-116.75
33.8856072930765,16.5,1.63,100,30.9,-116.75
NaN,20.1,1.92,122,30.9,-116.75
33.941511034732,20.7,1.96,125,30.9,-116.75
NaN,23.3,2.12,141,30.9,-116.75
33.999462732143,24.1,2.19,150,30.9,-116.75
NaN,25.3,2.32,171,30.9,-116.75
NaN,26.5,2.38,200,30.9,-116.75
NaN,27.1,2.42,229,30.9,-116.75
34.2228885652075,27.8,2.51,250,30.9,-116.75
NaN,28.4,2.6,269,30.9,-116.75
34.322478605875,29.3,2.69,300,30.9,-116.75
NaN,30.1,2.76,328,30.9,-116.75
